Percentage served,Time in ms
0,40.848
1,42.304
2,42.441
3,42.582
4,42.687
5,42.762
6,42.807
7,42.861
8,42.905
9,42.943
10,42.993
11,43.024
12,43.059
13,43.095
14,43.131
15,43.169
16,43.212
17,43.242
18,43.283
19,43.312
20,43.348
21,43.376
22,43.411
23,43.434
24,43.461
25,43.492
26,43.511
27,43.546
28,43.572
29,43.604
30,43.634
31,43.664
32,43.699
33,43.733
34,43.759
35,43.799
36,43.839
37,43.876
38,43.907
39,43.936
40,43.955
41,43.978
42,44.014
43,44.046
44,44.074
45,44.104
46,44.136
47,44.176
48,44.211
49,44.247
50,44.306
51,44.341
52,44.378
53,44.422
54,44.454
55,44.497
56,44.527
57,44.563
58,44.595
59,44.639
60,44.678
61,44.718
62,44.765
63,44.810
64,44.844
65,44.886
66,44.918
67,44.955
68,45.000
69,45.042
70,45.082
71,45.127
72,45.163
73,45.202
74,45.252
75,45.299
76,45.342
77,45.376
78,45.409
79,45.468
80,45.515
81,45.558
82,45.597
83,45.645
84,45.713
85,45.787
86,45.838
87,45.902
88,45.972
89,46.059
90,46.184
91,46.263
92,46.369
93,46.505
94,46.692
95,46.939
96,47.162
97,47.482
98,47.989
99,49.355
100,54.120
