Percentage served,Time in ms
0,99.935
1,101.615
2,101.876
3,102.250
4,102.498
5,102.777
6,102.936
7,103.061
8,103.367
9,103.496
10,103.664
11,103.862
12,104.036
13,104.190
14,104.314
15,104.466
16,104.609
17,104.761
18,104.923
19,105.235
20,105.439
21,105.571
22,105.826
23,105.974
24,106.230
25,106.461
26,106.659
27,107.050
28,107.224
29,107.400
30,107.637
31,107.811
32,108.036
33,108.269
34,108.575
35,108.811
36,109.129
37,109.356
38,109.901
39,110.150
40,110.719
41,111.523
42,111.971
43,112.324
44,112.603
45,113.058
46,113.257
47,113.451
48,113.587
49,113.739
50,113.890
51,114.076
52,114.233
53,114.403
54,114.526
55,114.774
56,114.900
57,115.079
58,115.200
59,115.306
60,115.346
61,115.453
62,115.590
63,115.761
64,115.891
65,116.128
66,116.383
67,116.499
68,116.672
69,116.929
70,117.151
71,117.342
72,117.558
73,117.731
74,117.985
75,118.164
76,118.426
77,118.703
78,118.903
79,119.006
80,119.164
81,119.365
82,119.567
83,119.793
84,120.056
85,120.276
86,120.402
87,120.599
88,120.836
89,121.082
90,121.339
91,121.620
92,122.070
93,122.546
94,122.962
95,123.573
96,124.077
97,124.723
98,125.879
99,126.973
100,144.940
