Percentage served,Time in ms
0,26.768
1,27.224
2,27.319
3,27.397
4,27.452
5,27.500
6,27.535
7,27.567
8,27.599
9,27.625
10,27.650
11,27.680
12,27.702
13,27.733
14,27.764
15,27.797
16,27.821
17,27.845
18,27.870
19,27.889
20,27.910
21,27.937
22,27.958
23,27.975
24,27.994
25,28.008
26,28.026
27,28.045
28,28.063
29,28.087
30,28.107
31,28.128
32,28.146
33,28.167
34,28.183
35,28.203
36,28.223
37,28.246
38,28.271
39,28.291
40,28.307
41,28.333
42,28.354
43,28.378
44,28.397
45,28.413
46,28.440
47,28.462
48,28.483
49,28.507
50,28.527
51,28.545
52,28.564
53,28.587
54,28.609
55,28.638
56,28.662
57,28.687
58,28.711
59,28.733
60,28.750
61,28.776
62,28.802
63,28.830
64,28.852
65,28.878
66,28.900
67,28.925
68,28.945
69,28.966
70,28.983
71,29.007
72,29.023
73,29.056
74,29.080
75,29.111
76,29.146
77,29.173
78,29.205
79,29.226
80,29.250
81,29.284
82,29.315
83,29.352
84,29.387
85,29.436
86,29.487
87,29.533
88,29.597
89,29.666
90,29.746
91,29.843
92,29.924
93,30.033
94,30.200
95,30.441
96,30.709
97,31.211
98,31.894
99,33.352
100,40.388
