Percentage served,Time in ms
0,106.701
1,107.511
2,108.005
3,108.255
4,108.538
5,108.682
6,108.793
7,108.886
8,109.001
9,109.185
10,109.296
11,109.517
12,109.600
13,109.710
14,109.842
15,109.961
16,110.064
17,110.155
18,110.254
19,110.371
20,110.462
21,110.520
22,110.602
23,110.697
24,110.763
25,110.871
26,110.949
27,110.976
28,111.064
29,111.139
30,111.290
31,111.374
32,111.485
33,111.577
34,111.780
35,111.915
36,112.211
37,112.449
38,112.530
39,112.624
40,112.755
41,112.854
42,112.956
43,113.157
44,113.300
45,113.408
46,113.532
47,113.610
48,113.718
49,113.826
50,113.975
51,114.132
52,114.266
53,114.366
54,114.516
55,114.601
56,114.715
57,114.864
58,114.941
59,115.092
60,115.220
61,115.323
62,115.423
63,115.557
64,115.684
65,115.811
66,115.910
67,115.995
68,116.254
69,116.312
70,116.419
71,116.510
72,116.583
73,116.661
74,116.748
75,116.884
76,117.012
77,117.156
78,117.408
79,117.606
80,117.745
81,117.909
82,118.209
83,118.436
84,118.694
85,118.851
86,119.120
87,119.351
88,119.698
89,119.879
90,120.107
91,120.389
92,120.770
93,121.028
94,121.332
95,121.564
96,122.022
97,122.483
98,123.195
99,124.468
100,164.103
