Percentage served,Time in ms
0,101.702
1,103.810
2,104.144
3,104.384
4,104.571
5,104.772
6,104.881
7,104.966
8,105.127
9,105.240
10,105.358
11,105.465
12,105.552
13,105.695
14,105.852
15,105.946
16,106.117
17,106.241
18,106.357
19,106.500
20,106.651
21,106.713
22,106.798
23,106.896
24,107.011
25,107.087
26,107.217
27,107.389
28,107.458
29,107.635
30,107.796
31,107.949
32,108.074
33,108.305
34,108.457
35,108.569
36,108.763
37,108.885
38,109.021
39,109.141
40,109.434
41,109.612
42,109.757
43,109.809
44,109.918
45,110.030
46,110.136
47,110.266
48,110.323
49,110.438
50,110.545
51,110.723
52,110.837
53,110.973
54,111.065
55,111.195
56,111.275
57,111.430
58,111.499
59,111.619
60,111.731
61,111.832
62,111.927
63,112.087
64,112.342
65,112.495
66,112.672
67,112.896
68,113.006
69,113.182
70,113.308
71,113.399
72,113.516
73,113.741
74,113.867
75,113.995
76,114.323
77,114.517
78,114.751
79,114.855
80,115.001
81,115.236
82,115.446
83,115.662
84,115.796
85,115.958
86,116.043
87,116.215
88,116.386
89,116.741
90,116.907
91,117.115
92,117.297
93,117.525
94,117.756
95,117.977
96,118.357
97,118.690
98,119.041
99,120.415
100,127.797
