Percentage served,Time in ms
0,22.771
1,23.119
2,23.228
3,23.293
4,23.354
5,23.403
6,23.443
7,23.475
8,23.513
9,23.544
10,23.580
11,23.610
12,23.634
13,23.670
14,23.697
15,23.731
16,23.760
17,23.789
18,23.816
19,23.841
20,23.869
21,23.897
22,23.917
23,23.938
24,23.968
25,23.991
26,24.019
27,24.049
28,24.090
29,24.121
30,24.149
31,24.179
32,24.223
33,24.257
34,24.289
35,24.325
36,24.366
37,24.401
38,24.441
39,24.473
40,24.503
41,24.534
42,24.571
43,24.599
44,24.626
45,24.659
46,24.694
47,24.724
48,24.751
49,24.774
50,24.802
51,24.839
52,24.875
53,24.902
54,24.933
55,24.963
56,24.989
57,25.020
58,25.055
59,25.086
60,25.121
61,25.157
62,25.200
63,25.250
64,25.290
65,25.341
66,25.380
67,25.431
68,25.477
69,25.531
70,25.582
71,25.641
72,25.689
73,25.738
74,25.768
75,25.841
76,25.896
77,25.946
78,25.997
79,26.058
80,26.126
81,26.195
82,26.256
83,26.317
84,26.386
85,26.448
86,26.528
87,26.615
88,26.713
89,26.804
90,26.906
91,27.018
92,27.120
93,27.252
94,27.405
95,27.550
96,27.823
97,28.108
98,28.512
99,30.070
100,1026.172
