Percentage served,Time in ms
0,38.742
1,39.264
2,39.375
3,39.475
4,39.550
5,39.636
6,39.708
7,39.753
8,39.794
9,39.825
10,39.868
11,39.906
12,39.927
13,39.958
14,39.988
15,40.026
16,40.050
17,40.093
18,40.125
19,40.147
20,40.177
21,40.207
22,40.244
23,40.267
24,40.304
25,40.329
26,40.358
27,40.382
28,40.405
29,40.430
30,40.454
31,40.474
32,40.501
33,40.526
34,40.550
35,40.581
36,40.611
37,40.640
38,40.673
39,40.704
40,40.735
41,40.769
42,40.802
43,40.838
44,40.860
45,40.891
46,40.924
47,40.949
48,40.978
49,41.015
50,41.033
51,41.069
52,41.100
53,41.127
54,41.173
55,41.205
56,41.252
57,41.290
58,41.328
59,41.372
60,41.410
61,41.448
62,41.485
63,41.515
64,41.570
65,41.616
66,41.668
67,41.708
68,41.750
69,41.787
70,41.831
71,41.862
72,41.902
73,41.931
74,41.976
75,42.018
76,42.051
77,42.096
78,42.146
79,42.183
80,42.224
81,42.269
82,42.315
83,42.359
84,42.402
85,42.471
86,42.507
87,42.559
88,42.629
89,42.699
90,42.764
91,42.817
92,42.895
93,42.974
94,43.089
95,43.203
96,43.408
97,43.760
98,44.229
99,45.217
100,52.606
