Percentage served,Time in ms
0,107.569
1,108.315
2,108.898
3,109.164
4,109.450
5,109.636
6,109.745
7,109.894
8,109.968
9,110.013
10,110.287
11,110.443
12,110.552
13,110.650
14,110.749
15,110.880
16,110.993
17,111.104
18,111.204
19,111.285
20,111.389
21,111.451
22,111.544
23,111.643
24,111.752
25,111.821
26,111.904
27,111.971
28,112.014
29,112.087
30,112.222
31,112.296
32,112.361
33,112.441
34,112.496
35,112.569
36,112.666
37,112.751
38,112.829
39,112.971
40,113.048
41,113.123
42,113.247
43,113.353
44,113.468
45,113.553
46,113.698
47,113.778
48,113.980
49,114.133
50,114.283
51,114.415
52,114.544
53,114.700
54,114.793
55,114.903
56,114.988
57,115.119
58,115.214
59,115.272
60,115.336
61,115.424
62,115.537
63,115.636
64,115.778
65,115.920
66,116.019
67,116.100
68,116.173
69,116.247
70,116.319
71,116.395
72,116.498
73,116.628
74,116.753
75,116.850
76,116.968
77,117.046
78,117.122
79,117.217
80,117.332
81,117.483
82,117.625
83,117.724
84,117.893
85,118.088
86,118.208
87,118.377
88,118.522
89,118.744
90,119.328
91,119.642
92,120.007
93,120.675
94,121.256
95,121.892
96,122.258
97,122.993
98,123.520
99,124.739
100,128.264
