Percentage served,Time in ms
0,102.037
1,103.795
2,104.580
3,104.953
4,105.179
5,105.348
6,105.509
7,105.901
8,106.086
9,106.230
10,106.320
11,106.534
12,106.709
13,106.988
14,107.113
15,107.312
16,107.610
17,107.892
18,108.308
19,108.857
20,109.108
21,109.668
22,109.931
23,110.368
24,110.580
25,110.808
26,111.110
27,111.333
28,111.637
29,111.975
30,112.311
31,112.631
32,112.894
33,113.621
34,114.542
35,115.040
36,115.602
37,116.493
38,116.949
39,117.995
40,171.085
41,175.759
42,177.316
43,178.228
44,178.574
45,179.323
46,180.112
47,181.391
48,181.981
49,182.547
50,183.245
51,184.243
52,185.314
53,185.449
54,185.879
55,186.102
56,186.381
57,186.737
58,187.017
59,187.752
60,188.419
61,188.866
62,189.484
63,189.859
64,190.263
65,190.661
66,191.031
67,191.891
68,192.308
69,192.736
70,192.975
71,193.133
72,193.338
73,193.646
74,194.136
75,194.571
76,195.131
77,195.376
78,196.114
79,196.426
80,196.980
81,197.580
82,198.097
83,198.982
84,199.557
85,200.284
86,200.810
87,202.067
88,202.790
89,203.429
90,203.642
91,204.839
92,205.575
93,206.602
94,207.211
95,208.226
96,209.916
97,211.314
98,213.445
99,217.327
100,222.401
