Percentage served,Time in ms
0,22.835
1,23.155
2,23.300
3,23.351
4,23.391
5,23.424
6,23.466
7,23.506
8,23.541
9,23.596
10,23.631
11,23.661
12,23.697
13,23.729
14,23.758
15,23.792
16,23.820
17,23.844
18,23.869
19,23.895
20,23.909
21,23.929
22,23.951
23,23.972
24,24.000
25,24.016
26,24.037
27,24.063
28,24.084
29,24.110
30,24.140
31,24.163
32,24.192
33,24.217
34,24.238
35,24.267
36,24.291
37,24.307
38,24.330
39,24.356
40,24.385
41,24.408
42,24.443
43,24.469
44,24.505
45,24.539
46,24.565
47,24.608
48,24.637
49,24.665
50,24.689
51,24.720
52,24.746
53,24.784
54,24.811
55,24.838
56,24.870
57,24.908
58,24.950
59,24.990
60,25.030
61,25.058
62,25.107
63,25.162
64,25.202
65,25.255
66,25.331
67,25.419
68,25.476
69,25.577
70,25.661
71,25.988
72,26.242
73,26.920
74,28.610
75,103.824
76,106.003
77,108.216
78,109.757
79,111.067
80,112.314
81,113.218
82,113.938
83,114.712
84,115.135
85,115.696
86,116.305
87,117.239
88,118.050
89,118.565
90,119.300
91,119.924
92,121.054
93,122.434
94,123.491
95,124.404
96,125.450
97,126.865
98,128.766
99,132.198
100,151.624
