Percentage served,Time in ms
0,116.165
1,119.316
2,119.738
3,120.268
4,120.607
5,122.022
6,122.824
7,123.245
8,123.597
9,123.852
10,124.143
11,124.416
12,124.516
13,124.620
14,124.748
15,124.877
16,125.033
17,125.193
18,125.259
19,125.363
20,125.508
21,125.601
22,125.698
23,125.836
24,125.891
25,125.974
26,126.026
27,126.119
28,126.207
29,126.302
30,126.362
31,126.447
32,126.491
33,126.583
34,126.657
35,126.724
36,126.829
37,126.894
38,126.934
39,127.005
40,127.062
41,127.097
42,127.187
43,127.375
44,127.442
45,127.502
46,127.675
47,127.770
48,127.833
49,127.923
50,128.002
51,128.123
52,128.301
53,128.429
54,128.542
55,128.693
56,128.846
57,129.009
58,129.192
59,129.284
60,129.450
61,129.615
62,129.757
63,129.905
64,130.034
65,130.179
66,130.334
67,130.477
68,130.648
69,130.789
70,130.900
71,131.020
72,131.091
73,131.173
74,131.327
75,131.465
76,131.548
77,131.701
78,131.930
79,132.073
80,132.191
81,132.272
82,132.454
83,132.663
84,132.886
85,133.072
86,133.265
87,133.497
88,133.694
89,134.062
90,134.493
91,135.049
92,135.394
93,135.900
94,136.256
95,136.538
96,136.917
97,137.767
98,138.273
99,139.011
100,145.537
