Percentage served,Time in ms
0,36.930
1,37.442
2,37.603
3,37.715
4,37.805
5,37.892
6,37.933
7,37.995
8,38.053
9,38.088
10,38.127
11,38.175
12,38.214
13,38.251
14,38.277
15,38.322
16,38.362
17,38.388
18,38.414
19,38.446
20,38.482
21,38.516
22,38.549
23,38.574
24,38.596
25,38.634
26,38.664
27,38.689
28,38.725
29,38.759
30,38.792
31,38.822
32,38.854
33,38.879
34,38.903
35,38.923
36,38.949
37,38.978
38,38.998
39,39.027
40,39.063
41,39.089
42,39.117
43,39.150
44,39.177
45,39.208
46,39.246
47,39.264
48,39.288
49,39.317
50,39.344
51,39.370
52,39.398
53,39.423
54,39.455
55,39.482
56,39.518
57,39.540
58,39.568
59,39.605
60,39.636
61,39.665
62,39.702
63,39.741
64,39.781
65,39.814
66,39.853
67,39.896
68,39.925
69,39.958
70,39.994
71,40.034
72,40.077
73,40.132
74,40.215
75,40.262
76,40.324
77,40.384
78,40.443
79,40.495
80,40.564
81,40.621
82,40.705
83,40.791
84,40.908
85,41.024
86,41.133
87,41.272
88,41.445
89,41.670
90,41.994
91,42.317
92,42.644
93,43.061
94,43.617
95,44.307
96,45.248
97,46.239
98,48.142
99,50.703
100,146.156
