Percentage served,Time in ms
0,26.218
1,26.638
2,26.774
3,26.917
4,27.012
5,27.099
6,27.169
7,27.218
8,27.291
9,27.359
10,27.422
11,27.478
12,27.530
13,27.595
14,27.660
15,27.734
16,27.798
17,27.852
18,27.924
19,27.994
20,28.081
21,28.131
22,28.221
23,28.314
24,28.438
25,28.550
26,28.674
27,28.804
28,28.997
29,29.437
30,29.712
31,29.864
32,29.955
33,30.065
34,30.137
35,30.171
36,30.228
37,30.261
38,30.305
39,30.359
40,30.413
41,30.456
42,30.496
43,30.540
44,30.608
45,30.640
46,30.709
47,30.756
48,30.799
49,30.848
50,30.908
51,30.955
52,31.009
53,31.071
54,31.124
55,31.225
56,31.270
57,31.338
58,31.388
59,31.445
60,31.536
61,31.591
62,31.671
63,31.778
64,31.878
65,32.031
66,32.212
67,32.491
68,33.410
69,36.675
70,108.484
71,109.927
72,111.553
73,112.654
74,113.640
75,114.342
76,115.769
77,116.548
78,117.271
79,118.216
80,119.181
81,119.944
82,120.715
83,121.289
84,121.973
85,122.638
86,123.577
87,124.157
88,125.114
89,125.922
90,126.381
91,126.837
92,127.559
93,128.703
94,129.944
95,131.167
96,132.480
97,133.873
98,135.799
99,139.517
100,152.541
