Percentage served,Time in ms
0,105.783
1,107.287
2,107.753
3,108.086
4,108.448
5,108.802
6,109.184
7,109.653
8,109.876
9,110.021
10,110.333
11,110.830
12,111.003
13,111.389
14,112.019
15,112.390
16,112.917
17,113.235
18,113.761
19,114.143
20,114.457
21,114.870
22,115.192
23,115.571
24,115.913
25,115.964
26,116.402
27,117.078
28,117.454
29,118.087
30,118.518
31,118.805
32,119.278
33,120.127
34,120.580
35,121.209
36,122.146
37,122.845
38,124.649
39,170.996
40,174.319
41,175.926
42,176.801
43,178.509
44,179.389
45,180.658
46,181.277
47,181.926
48,182.853
49,183.280
50,184.111
51,184.758
52,185.699
53,186.140
54,186.429
55,186.642
56,187.094
57,187.292
58,187.911
59,188.193
60,188.501
61,188.763
62,189.059
63,189.382
64,189.841
65,190.385
66,190.783
67,191.521
68,191.961
69,192.473
70,192.719
71,192.974
72,193.141
73,193.585
74,194.028
75,194.573
76,195.088
77,195.391
78,195.942
79,196.330
80,196.834
81,197.140
82,197.818
83,198.542
84,199.119
85,199.844
86,200.448
87,201.070
88,201.804
89,202.521
90,203.161
91,204.095
92,205.182
93,206.071
94,207.508
95,208.825
96,209.980
97,212.264
98,214.720
99,219.671
100,225.915
