Percentage served,Time in ms
0,99.386
1,107.507
2,107.863
3,108.043
4,108.265
5,108.472
6,108.606
7,108.753
8,108.837
9,108.946
10,109.110
11,109.201
12,109.295
13,109.363
14,109.407
15,109.559
16,109.677
17,109.772
18,109.814
19,109.851
20,109.898
21,109.973
22,110.035
23,110.123
24,110.196
25,110.253
26,110.337
27,110.414
28,110.453
29,110.491
30,110.567
31,110.612
32,110.670
33,110.742
34,110.807
35,110.876
36,110.984
37,111.051
38,111.082
39,111.165
40,111.235
41,111.269
42,111.322
43,111.380
44,111.447
45,111.499
46,111.557
47,111.618
48,111.668
49,111.820
50,111.910
51,112.053
52,112.105
53,112.207
54,112.308
55,112.401
56,112.513
57,112.667
58,112.789
59,112.896
60,113.053
61,113.156
62,113.258
63,113.351
64,113.419
65,113.503
66,113.571
67,113.676
68,113.815
69,113.920
70,114.000
71,114.177
72,114.266
73,114.347
74,114.467
75,114.584
76,114.705
77,114.788
78,114.922
79,115.039
80,115.137
81,115.272
82,115.386
83,115.562
84,115.661
85,115.762
86,115.866
87,115.986
88,116.197
89,116.337
90,116.391
91,116.563
92,116.747
93,116.914
94,117.173
95,117.380
96,117.830
97,118.358
98,119.161
99,119.747
100,122.069
