Percentage served,Time in ms
0,27.130
1,27.567
2,27.689
3,27.775
4,27.829
5,27.884
6,27.910
7,27.941
8,27.966
9,27.993
10,28.022
11,28.051
12,28.086
13,28.114
14,28.137
15,28.168
16,28.198
17,28.232
18,28.256
19,28.277
20,28.305
21,28.333
22,28.358
23,28.376
24,28.401
25,28.420
26,28.442
27,28.462
28,28.481
29,28.505
30,28.527
31,28.552
32,28.572
33,28.592
34,28.612
35,28.636
36,28.663
37,28.684
38,28.711
39,28.738
40,28.755
41,28.779
42,28.802
43,28.836
44,28.866
45,28.896
46,28.922
47,28.939
48,28.963
49,28.983
50,29.008
51,29.034
52,29.052
53,29.082
54,29.105
55,29.133
56,29.157
57,29.177
58,29.203
59,29.233
60,29.264
61,29.287
62,29.311
63,29.332
64,29.365
65,29.392
66,29.425
67,29.458
68,29.488
69,29.512
70,29.553
71,29.584
72,29.616
73,29.655
74,29.692
75,29.742
76,29.789
77,29.833
78,29.878
79,29.923
80,29.970
81,30.026
82,30.099
83,30.181
84,30.290
85,30.368
86,30.461
87,30.544
88,30.661
89,30.769
90,30.890
91,31.016
92,31.206
93,31.363
94,31.536
95,31.817
96,32.121
97,32.622
98,33.497
99,34.919
100,127.869
