Percentage served,Time in ms
0,39.002
1,39.468
2,39.636
3,39.778
4,39.848
5,39.894
6,39.960
7,40.008
8,40.054
9,40.090
10,40.135
11,40.171
12,40.214
13,40.244
14,40.278
15,40.310
16,40.348
17,40.377
18,40.403
19,40.435
20,40.478
21,40.504
22,40.534
23,40.560
24,40.591
25,40.628
26,40.651
27,40.682
28,40.713
29,40.750
30,40.783
31,40.823
32,40.855
33,40.879
34,40.904
35,40.932
36,40.961
37,40.997
38,41.019
39,41.053
40,41.098
41,41.138
42,41.179
43,41.211
44,41.255
45,41.290
46,41.325
47,41.364
48,41.407
49,41.452
50,41.490
51,41.538
52,41.571
53,41.623
54,41.667
55,41.726
56,41.767
57,41.803
58,41.852
59,41.899
60,41.951
61,42.001
62,42.044
63,42.097
64,42.143
65,42.190
66,42.233
67,42.269
68,42.331
69,42.359
70,42.391
71,42.430
72,42.479
73,42.528
74,42.573
75,42.614
76,42.663
77,42.704
78,42.765
79,42.833
80,42.879
81,42.918
82,42.983
83,43.050
84,43.130
85,43.217
86,43.301
87,43.396
88,43.516
89,43.626
90,43.775
91,43.978
92,44.157
93,44.396
94,44.646
95,44.914
96,45.222
97,45.573
98,46.045
99,46.570
100,50.841
