Percentage served,Time in ms
0,94.570
1,103.810
2,104.181
3,104.654
4,104.828
5,105.010
6,105.211
7,105.367
8,105.510
9,105.642
10,105.777
11,105.871
12,105.971
13,106.163
14,106.295
15,106.406
16,106.505
17,106.604
18,106.695
19,106.790
20,106.891
21,106.999
22,107.069
23,107.187
24,107.291
25,107.335
26,107.404
27,107.492
28,107.549
29,107.736
30,107.807
31,107.961
32,108.062
33,108.214
34,108.259
35,108.409
36,108.531
37,108.754
38,108.836
39,108.977
40,109.150
41,109.254
42,109.320
43,109.482
44,109.612
45,109.729
46,109.861
47,110.103
48,110.194
49,110.343
50,110.487
51,110.617
52,110.786
53,110.904
54,111.062
55,111.163
56,111.352
57,111.462
58,111.528
59,111.659
60,111.721
61,111.921
62,112.062
63,112.177
64,112.244
65,112.381
66,112.484
67,112.652
68,112.781
69,112.951
70,113.090
71,113.217
72,113.330
73,113.444
74,113.541
75,113.810
76,113.985
77,114.182
78,114.459
79,114.629
80,114.865
81,115.098
82,115.261
83,115.434
84,115.568
85,115.716
86,115.918
87,116.158
88,116.311
89,116.646
90,116.919
91,117.023
92,117.155
93,117.273
94,117.476
95,117.846
96,118.317
97,118.676
98,119.453
99,120.688
100,131.553
