Percentage served,Time in ms
0,103.263
1,103.883
2,104.295
3,104.509
4,104.733
5,104.906
6,105.110
7,105.293
8,105.481
9,105.570
10,105.621
11,105.816
12,105.923
13,106.012
14,106.098
15,106.179
16,106.303
17,106.460
18,106.565
19,106.643
20,106.776
21,106.909
22,107.024
23,107.101
24,107.246
25,107.339
26,107.426
27,107.557
28,107.625
29,107.762
30,107.960
31,108.134
32,108.215
33,108.361
34,108.456
35,108.595
36,108.755
37,108.979
38,109.079
39,109.272
40,109.503
41,109.697
42,109.940
43,110.077
44,110.224
45,110.355
46,110.498
47,110.638
48,110.758
49,110.859
50,110.938
51,111.039
52,111.161
53,111.265
54,111.377
55,111.508
56,111.664
57,111.821
58,111.942
59,112.103
60,112.229
61,112.393
62,112.507
63,112.702
64,112.808
65,112.953
66,113.173
67,113.344
68,113.447
69,113.593
70,113.757
71,114.043
72,114.287
73,114.460
74,114.629
75,114.815
76,114.988
77,115.193
78,115.348
79,115.557
80,115.741
81,115.915
82,116.140
83,116.284
84,116.506
85,116.628
86,116.798
87,116.967
88,117.069
89,117.254
90,117.395
91,117.530
92,117.839
93,118.090
94,118.354
95,118.501
96,118.862
97,119.216
98,119.770
99,121.671
100,127.945
