Percentage served,Time in ms
0,23.092
1,23.558
2,23.677
3,23.754
4,23.805
5,23.853
6,23.879
7,23.912
8,23.945
9,23.978
10,24.006
11,24.028
12,24.055
13,24.073
14,24.101
15,24.141
16,24.165
17,24.189
18,24.212
19,24.231
20,24.256
21,24.286
22,24.311
23,24.329
24,24.350
25,24.373
26,24.398
27,24.426
28,24.457
29,24.473
30,24.495
31,24.518
32,24.539
33,24.565
34,24.588
35,24.617
36,24.639
37,24.665
38,24.693
39,24.724
40,24.747
41,24.776
42,24.804
43,24.829
44,24.856
45,24.887
46,24.908
47,24.938
48,24.962
49,24.989
50,25.021
51,25.042
52,25.069
53,25.099
54,25.127
55,25.159
56,25.187
57,25.212
58,25.239
59,25.265
60,25.295
61,25.325
62,25.350
63,25.385
64,25.416
65,25.439
66,25.475
67,25.528
68,25.569
69,25.610
70,25.648
71,25.701
72,25.759
73,25.817
74,25.893
75,25.975
76,26.064
77,26.158
78,26.288
79,26.436
80,26.635
81,26.825
82,26.966
83,27.128
84,27.344
85,27.514
86,27.677
87,27.827
88,27.969
89,28.097
90,28.243
91,28.398
92,28.560
93,28.754
94,29.057
95,29.269
96,29.693
97,30.096
98,30.694
99,32.052
100,137.634
