Percentage served,Time in ms
0,38.822
1,39.730
2,39.927
3,40.026
4,40.123
5,40.228
6,40.279
7,40.335
8,40.395
9,40.440
10,40.514
11,40.555
12,40.607
13,40.662
14,40.720
15,40.771
16,40.828
17,40.865
18,40.906
19,40.950
20,40.996
21,41.057
22,41.122
23,41.167
24,41.222
25,41.275
26,41.330
27,41.390
28,41.451
29,41.493
30,41.559
31,41.614
32,41.666
33,41.727
34,41.783
35,41.854
36,41.906
37,41.966
38,42.002
39,42.052
40,42.096
41,42.147
42,42.211
43,42.262
44,42.310
45,42.341
46,42.372
47,42.429
48,42.474
49,42.517
50,42.560
51,42.609
52,42.675
53,42.742
54,42.794
55,42.852
56,42.900
57,42.937
58,42.977
59,43.029
60,43.105
61,43.169
62,43.221
63,43.279
64,43.330
65,43.421
66,43.507
67,43.579
68,43.637
69,43.711
70,43.820
71,43.899
72,43.956
73,44.062
74,44.142
75,44.225
76,44.311
77,44.407
78,44.500
79,44.629
80,44.748
81,44.854
82,44.957
83,45.082
84,45.257
85,45.426
86,45.567
87,45.719
88,45.862
89,45.999
90,46.258
91,46.464
92,46.734
93,47.018
94,47.346
95,47.627
96,47.934
97,48.296
98,48.798
99,49.460
100,60.644
