Percentage served,Time in ms
0,102.943
1,103.884
2,104.196
3,104.476
4,104.770
5,105.033
6,105.196
7,105.391
8,105.595
9,105.744
10,105.893
11,106.089
12,106.251
13,106.370
14,106.430
15,106.576
16,106.765
17,106.885
18,106.958
19,107.126
20,107.222
21,107.396
22,107.535
23,107.742
24,107.864
25,107.932
26,108.040
27,108.213
28,108.322
29,108.514
30,108.630
31,108.872
32,108.985
33,109.149
34,109.351
35,109.562
36,109.958
37,110.073
38,110.176
39,110.360
40,110.487
41,110.588
42,110.742
43,110.923
44,111.068
45,111.215
46,111.374
47,111.467
48,111.588
49,111.644
50,111.776
51,111.927
52,112.004
53,112.100
54,112.274
55,112.451
56,112.519
57,112.650
58,112.765
59,112.851
60,112.955
61,113.061
62,113.139
63,113.279
64,113.409
65,113.611
66,113.904
67,114.093
68,114.222
69,114.413
70,114.547
71,114.855
72,114.959
73,115.123
74,115.264
75,115.431
76,115.647
77,115.805
78,115.980
79,116.150
80,116.337
81,116.430
82,116.595
83,116.790
84,116.924
85,117.053
86,117.240
87,117.423
88,117.590
89,117.828
90,118.054
91,118.334
92,118.617
93,118.870
94,119.203
95,119.685
96,120.058
97,120.734
98,121.706
99,122.777
100,128.917
