Percentage served,Time in ms
0,37.713
1,38.169
2,38.346
3,38.414
4,38.518
5,38.582
6,38.671
7,38.734
8,38.819
9,38.876
10,38.933
11,39.001
12,39.044
13,39.085
14,39.151
15,39.219
16,39.264
17,39.332
18,39.371
19,39.413
20,39.459
21,39.500
22,39.549
23,39.600
24,39.653
25,39.713
26,39.758
27,39.834
28,39.904
29,39.965
30,40.039
31,40.082
32,40.144
33,40.295
34,40.374
35,40.470
36,40.598
37,40.671
38,40.790
39,40.889
40,41.084
41,41.552
42,42.055
43,42.759
44,43.920
45,45.221
46,46.261
47,47.636
48,49.517
49,50.258
50,50.711
51,50.966
52,51.244
53,51.468
54,51.725
55,51.903
56,52.268
57,53.057
58,58.644
59,108.537
60,110.215
61,111.464
62,112.347
63,113.575
64,114.256
65,115.053
66,116.223
67,117.053
68,117.727
69,119.099
70,120.414
71,121.586
72,122.688
73,123.407
74,123.984
75,124.566
76,125.150
77,125.639
78,126.208
79,127.025
80,127.898
81,128.783
82,129.257
83,129.699
84,130.359
85,130.959
86,131.688
87,132.247
88,133.459
89,134.313
90,135.224
91,136.265
92,137.081
93,138.257
94,139.395
95,140.672
96,142.090
97,143.875
98,145.173
99,149.438
100,162.355
