Percentage served,Time in ms
0,117.635
1,119.535
2,120.135
3,120.456
4,120.833
5,121.250
6,121.840
7,122.089
8,122.534
9,122.807
10,123.552
11,124.122
12,124.756
13,125.132
14,125.364
15,125.565
16,126.352
17,126.898
18,127.185
19,127.512
20,128.509
21,128.905
22,129.726
23,130.298
24,131.103
25,131.751
26,132.439
27,133.158
28,134.706
29,136.335
30,138.644
31,141.009
32,150.404
33,182.485
34,184.342
35,185.641
36,188.374
37,189.634
38,190.697
39,191.318
40,192.195
41,192.644
42,193.032
43,193.776
44,194.712
45,195.399
46,195.913
47,196.339
48,196.951
49,197.364
50,197.705
51,197.965
52,198.271
53,198.960
54,199.342
55,199.706
56,200.217
57,200.619
58,200.955
59,201.213
60,201.601
61,201.862
62,202.275
63,202.471
64,202.705
65,203.218
66,203.783
67,203.952
68,204.132
69,204.470
70,204.830
71,205.247
72,205.533
73,206.193
74,206.530
75,206.796
76,207.053
77,207.670
78,208.290
79,208.851
80,208.994
81,209.530
82,210.185
83,210.449
84,211.126
85,211.593
86,212.195
87,212.609
88,212.965
89,213.305
90,214.412
91,214.967
92,215.507
93,217.167
94,217.761
95,218.758
96,219.410
97,221.288
98,224.072
99,225.688
100,244.226
