Percentage served,Time in ms
0,76.201
1,78.307
2,78.658
3,79.113
4,79.280
5,79.439
6,79.592
7,79.716
8,79.772
9,79.861
10,79.946
11,80.031
12,80.128
13,80.190
14,80.275
15,80.361
16,80.407
17,80.463
18,80.523
19,80.587
20,80.645
21,80.704
22,80.762
23,80.819
24,80.881
25,80.943
26,81.011
27,81.044
28,81.081
29,81.158
30,81.222
31,81.269
32,81.320
33,81.380
34,81.431
35,81.470
36,81.529
37,81.572
38,81.622
39,81.664
40,81.709
41,81.758
42,81.823
43,81.881
44,81.909
45,81.959
46,81.983
47,82.028
48,82.058
49,82.105
50,82.156
51,82.205
52,82.255
53,82.308
54,82.366
55,82.410
56,82.467
57,82.502
58,82.562
59,82.608
60,82.662
61,82.729
62,82.787
63,82.819
64,82.857
65,82.915
66,82.954
67,83.071
68,83.156
69,83.232
70,83.301
71,83.384
72,83.468
73,83.567
74,83.657
75,83.713
76,83.765
77,83.866
78,83.940
79,83.990
80,84.111
81,84.189
82,84.291
83,84.422
84,84.562
85,84.702
86,84.821
87,84.948
88,85.110
89,85.232
90,85.442
91,85.700
92,85.970
93,86.304
94,86.521
95,87.067
96,87.544
97,88.853
98,89.872
99,92.546
100,103.706
