Percentage served,Time in ms
0,160.367
1,163.835
2,164.961
3,165.647
4,165.929
5,166.208
6,166.480
7,166.657
8,166.911
9,167.085
10,167.240
11,167.345
12,167.511
13,167.682
14,167.759
15,167.891
16,167.920
17,168.000
18,168.083
19,168.187
20,168.317
21,168.441
22,168.528
23,168.638
24,168.828
25,168.953
26,169.055
27,169.242
28,169.339
29,169.537
30,169.651
31,169.733
32,169.855
33,169.929
34,170.046
35,170.113
36,170.203
37,170.374
38,170.445
39,170.579
40,170.709
41,170.868
42,171.005
43,171.152
44,171.255
45,171.511
46,171.637
47,171.698
48,171.876
49,171.952
50,172.046
51,172.156
52,172.301
53,172.398
54,172.545
55,172.675
56,172.771
57,173.012
58,173.135
59,173.356
60,173.438
61,173.541
62,173.739
63,173.859
64,173.961
65,174.055
66,174.112
67,174.243
68,174.305
69,174.450
70,174.610
71,174.670
72,174.797
73,174.931
74,175.081
75,175.194
76,175.469
77,175.532
78,175.717
79,175.929
80,176.072
81,176.244
82,176.352
83,176.569
84,176.849
85,177.185
86,177.418
87,177.602
88,177.902
89,178.242
90,178.775
91,179.114
92,179.361
93,179.809
94,180.508
95,180.724
96,181.351
97,182.336
98,183.144
99,183.934
100,193.513
