Percentage served,Time in ms
0,78.973
1,80.400
2,80.702
3,81.010
4,81.139
5,81.290
6,81.478
7,81.573
8,81.707
9,81.796
10,81.887
11,81.970
12,82.037
13,82.136
14,82.193
15,82.295
16,82.363
17,82.427
18,82.486
19,82.545
20,82.589
21,82.650
22,82.714
23,82.754
24,82.814
25,82.890
26,82.931
27,82.973
28,83.021
29,83.109
30,83.169
31,83.203
32,83.286
33,83.349
34,83.396
35,83.453
36,83.510
37,83.564
38,83.619
39,83.701
40,83.754
41,83.820
42,83.858
43,83.943
44,83.997
45,84.044
46,84.101
47,84.165
48,84.241
49,84.296
50,84.393
51,84.454
52,84.521
53,84.552
54,84.643
55,84.721
56,84.789
57,84.881
58,84.943
59,85.006
60,85.069
61,85.133
62,85.246
63,85.314
64,85.448
65,85.524
66,85.608
67,85.686
68,85.730
69,85.813
70,85.923
71,86.024
72,86.122
73,86.230
74,86.343
75,86.456
76,86.538
77,86.653
78,86.801
79,86.955
80,87.121
81,87.310
82,87.523
83,87.654
84,87.864
85,88.190
86,88.445
87,88.625
88,88.882
89,89.383
90,89.948
91,90.485
92,91.260
93,91.942
94,92.960
95,93.893
96,94.846
97,96.161
98,97.037
99,99.213
100,109.868
