Percentage served,Time in ms
0,159.859
1,161.427
2,161.742
3,162.382
4,162.600
5,163.084
6,163.355
7,163.505
8,163.666
9,163.809
10,164.087
11,164.331
12,164.505
13,164.807
14,164.961
15,165.105
16,165.421
17,165.594
18,165.700
19,165.792
20,166.105
21,166.274
22,166.467
23,166.735
24,166.874
25,166.995
26,167.186
27,167.440
28,167.549
29,167.780
30,167.988
31,168.275
32,168.394
33,168.493
34,168.690
35,168.889
36,168.955
37,169.057
38,169.186
39,169.276
40,169.389
41,169.454
42,169.625
43,169.780
44,169.937
45,170.061
46,170.253
47,170.382
48,170.453
49,170.673
50,170.720
51,170.866
52,170.967
53,171.099
54,171.232
55,171.378
56,171.448
57,171.643
58,171.739
59,171.855
60,171.974
61,172.092
62,172.254
63,172.308
64,172.371
65,172.486
66,172.552
67,172.829
68,173.026
69,173.208
70,173.335
71,173.428
72,173.539
73,173.659
74,173.838
75,174.167
76,174.507
77,174.680
78,174.886
79,175.083
80,175.266
81,175.428
82,175.789
83,176.098
84,176.291
85,176.706
86,177.031
87,177.457
88,177.739
89,178.151
90,178.303
91,178.578
92,178.857
93,179.642
94,180.656
95,181.810
96,182.979
97,183.719
98,185.777
99,192.303
100,269.788
