Percentage served,Time in ms
0,108.114
1,109.157
2,109.380
3,109.772
4,109.985
5,110.228
6,110.322
7,110.505
8,110.724
9,110.876
10,110.958
11,111.094
12,111.180
13,111.239
14,111.355
15,111.447
16,111.514
17,111.669
18,111.762
19,111.836
20,111.896
21,111.965
22,112.053
23,112.162
24,112.214
25,112.283
26,112.395
27,112.499
28,112.571
29,112.680
30,112.756
31,112.815
32,112.937
33,113.015
34,113.068
35,113.128
36,113.258
37,113.348
38,113.498
39,113.562
40,113.653
41,113.795
42,113.867
43,113.950
44,114.054
45,114.170
46,114.301
47,114.434
48,114.501
49,114.621
50,114.750
51,114.864
52,115.038
53,115.180
54,115.317
55,115.412
56,115.548
57,115.706
58,115.838
59,115.914
60,116.037
61,116.169
62,116.253
63,116.328
64,116.440
65,116.520
66,116.616
67,116.706
68,116.840
69,116.878
70,116.947
71,117.043
72,117.134
73,117.223
74,117.363
75,117.565
76,117.740
77,117.836
78,117.903
79,117.998
80,118.112
81,118.187
82,118.359
83,118.510
84,118.585
85,119.005
86,119.111
87,119.244
88,119.408
89,119.592
90,119.808
91,120.230
92,120.589
93,120.981
94,121.697
95,122.035
96,122.553
97,123.085
98,124.235
99,125.394
100,129.348
