Percentage served,Time in ms
0,23.024
1,23.525
2,23.649
3,23.732
4,23.796
5,23.854
6,23.898
7,23.952
8,23.985
9,24.014
10,24.047
11,24.082
12,24.120
13,24.155
14,24.176
15,24.207
16,24.231
17,24.255
18,24.283
19,24.316
20,24.339
21,24.368
22,24.391
23,24.412
24,24.430
25,24.454
26,24.480
27,24.498
28,24.522
29,24.542
30,24.564
31,24.583
32,24.608
33,24.627
34,24.658
35,24.685
36,24.705
37,24.733
38,24.755
39,24.777
40,24.793
41,24.817
42,24.835
43,24.855
44,24.876
45,24.898
46,24.922
47,24.944
48,24.960
49,24.987
50,25.005
51,25.033
52,25.055
53,25.082
54,25.112
55,25.134
56,25.165
57,25.193
58,25.220
59,25.244
60,25.271
61,25.297
62,25.320
63,25.346
64,25.369
65,25.389
66,25.414
67,25.442
68,25.466
69,25.488
70,25.519
71,25.544
72,25.574
73,25.606
74,25.645
75,25.673
76,25.704
77,25.742
78,25.773
79,25.814
80,25.847
81,25.892
82,25.928
83,25.974
84,26.016
85,26.064
86,26.130
87,26.188
88,26.251
89,26.318
90,26.398
91,26.499
92,26.608
93,26.730
94,26.884
95,27.077
96,27.342
97,27.702
98,28.408
99,30.200
100,35.308
