Percentage served,Time in ms
0,97.134
1,98.504
2,98.775
3,98.975
4,99.242
5,99.403
6,99.709
7,99.843
8,99.967
9,100.083
10,100.229
11,100.294
12,100.418
13,100.485
14,100.540
15,100.628
16,100.716
17,100.793
18,100.892
19,100.979
20,101.078
21,101.147
22,101.293
23,101.339
24,101.451
25,101.532
26,101.608
27,101.686
28,101.783
29,101.868
30,101.955
31,102.057
32,102.180
33,102.274
34,102.390
35,102.485
36,102.592
37,102.731
38,102.845
39,102.942
40,103.088
41,103.231
42,103.370
43,103.540
44,103.676
45,103.818
46,103.990
47,104.132
48,104.362
49,104.509
50,104.638
51,104.779
52,104.946
53,105.099
54,105.279
55,105.507
56,105.604
57,105.736
58,105.853
59,105.983
60,106.125
61,106.221
62,106.392
63,106.687
64,106.853
65,107.104
66,107.242
67,107.481
68,107.685
69,108.534
70,109.199
71,109.719
72,110.276
73,110.538
74,110.804
75,111.136
76,111.502
77,111.749
78,112.066
79,112.313
80,112.450
81,112.727
82,113.130
83,113.420
84,113.780
85,114.268
86,114.509
87,114.970
88,115.393
89,115.921
90,116.294
91,116.594
92,117.021
93,117.283
94,117.506
95,117.943
96,118.780
97,119.364
98,120.691
99,122.989
100,127.036
