Percentage served,Time in ms
0,23.100
1,23.391
2,23.482
3,23.534
4,23.590
5,23.641
6,23.682
7,23.716
8,23.749
9,23.776
10,23.807
11,23.826
12,23.846
13,23.869
14,23.892
15,23.910
16,23.926
17,23.942
18,23.959
19,23.974
20,23.986
21,23.999
22,24.012
23,24.027
24,24.048
25,24.064
26,24.084
27,24.105
28,24.123
29,24.139
30,24.164
31,24.182
32,24.198
33,24.216
34,24.237
35,24.254
36,24.272
37,24.288
38,24.301
39,24.319
40,24.336
41,24.353
42,24.368
43,24.389
44,24.409
45,24.429
46,24.450
47,24.466
48,24.487
49,24.510
50,24.531
51,24.552
52,24.573
53,24.599
54,24.615
55,24.634
56,24.652
57,24.673
58,24.690
59,24.717
60,24.738
61,24.759
62,24.783
63,24.810
64,24.840
65,24.861
66,24.883
67,24.905
68,24.926
69,24.949
70,24.974
71,24.999
72,25.023
73,25.044
74,25.067
75,25.095
76,25.124
77,25.145
78,25.170
79,25.191
80,25.225
81,25.252
82,25.279
83,25.320
84,25.358
85,25.400
86,25.438
87,25.481
88,25.531
89,25.572
90,25.631
91,25.685
92,25.771
93,25.893
94,26.031
95,26.244
96,26.626
97,27.205
98,28.643
99,29.359
100,39.120
