Percentage served,Time in ms
0,39.391
1,39.960
2,40.143
3,40.244
4,40.318
5,40.376
6,40.429
7,40.486
8,40.525
9,40.573
10,40.622
11,40.662
12,40.710
13,40.743
14,40.776
15,40.813
16,40.835
17,40.868
18,40.895
19,40.925
20,40.948
21,40.974
22,40.999
23,41.027
24,41.060
25,41.083
26,41.106
27,41.144
28,41.163
29,41.204
30,41.240
31,41.279
32,41.306
33,41.343
34,41.372
35,41.401
36,41.428
37,41.457
38,41.489
39,41.509
40,41.538
41,41.567
42,41.606
43,41.641
44,41.678
45,41.706
46,41.734
47,41.779
48,41.816
49,41.851
50,41.880
51,41.912
52,41.938
53,41.968
54,41.997
55,42.021
56,42.043
57,42.071
58,42.112
59,42.153
60,42.201
61,42.237
62,42.282
63,42.328
64,42.359
65,42.413
66,42.464
67,42.500
68,42.533
69,42.576
70,42.623
71,42.668
72,42.709
73,42.752
74,42.796
75,42.840
76,42.881
77,42.940
78,42.977
79,43.019
80,43.074
81,43.119
82,43.178
83,43.249
84,43.299
85,43.342
86,43.394
87,43.448
88,43.510
89,43.581
90,43.658
91,43.719
92,43.820
93,43.920
94,44.017
95,44.189
96,44.432
97,44.760
98,45.317
99,46.352
100,54.548
