Percentage served,Time in ms
0,107.707
1,109.647
2,110.081
3,110.247
4,110.436
5,110.546
6,110.770
7,110.883
8,110.949
9,111.073
10,111.151
11,111.230
12,111.323
13,111.372
14,111.461
15,111.512
16,111.606
17,111.735
18,111.850
19,111.943
20,112.055
21,112.151
22,112.223
23,112.329
24,112.377
25,112.449
26,112.522
27,112.558
28,112.625
29,112.724
30,112.819
31,112.878
32,112.962
33,113.010
34,113.050
35,113.123
36,113.201
37,113.310
38,113.421
39,113.525
40,113.630
41,113.683
42,113.735
43,113.857
44,113.938
45,114.039
46,114.183
47,114.234
48,114.342
49,114.532
50,114.703
51,114.846
52,114.934
53,115.059
54,115.190
55,115.320
56,115.457
57,115.530
58,115.642
59,115.729
60,115.891
61,116.003
62,116.070
63,116.204
64,116.333
65,116.489
66,116.622
67,116.686
68,116.849
69,116.941
70,117.051
71,117.133
72,117.274
73,117.375
74,117.446
75,117.529
76,117.600
77,117.688
78,117.994
79,118.208
80,118.287
81,118.482
82,118.630
83,118.804
84,119.036
85,119.130
86,119.366
87,119.483
88,119.681
89,120.003
90,120.225
91,120.517
92,120.914
93,121.338
94,122.327
95,123.009
96,123.660
97,124.590
98,125.510
99,132.691
100,145.029
