Percentage served,Time in ms
0,171.335
1,175.664
2,176.900
3,177.873
4,178.392
5,179.350
6,179.689
7,179.892
8,180.391
9,180.776
10,181.101
11,181.530
12,181.963
13,182.310
14,182.518
15,182.753
16,182.903
17,183.027
18,183.369
19,183.447
20,183.578
21,183.821
22,183.914
23,184.160
24,184.257
25,184.457
26,184.794
27,184.991
28,185.084
29,185.263
30,185.517
31,185.728
32,185.875
33,186.029
34,186.164
35,186.345
36,186.488
37,186.619
38,186.853
39,186.958
40,187.150
41,187.412
42,187.545
43,187.608
44,187.792
45,187.887
46,188.017
47,188.273
48,188.365
49,188.500
50,188.788
51,189.188
52,189.408
53,189.604
54,189.820
55,190.091
56,190.161
57,190.501
58,190.658
59,190.811
60,191.083
61,191.230
62,191.663
63,191.877
64,192.024
65,192.211
66,192.525
67,192.826
68,193.106
69,193.324
70,193.839
71,194.039
72,194.227
73,194.334
74,194.465
75,194.535
76,194.775
77,194.991
78,195.342
79,195.521
80,195.911
81,196.240
82,196.461
83,196.807
84,197.109
85,197.553
86,197.938
87,198.414
88,198.816
89,199.593
90,200.506
91,200.896
92,201.789
93,202.565
94,204.251
95,205.406
96,206.203
97,208.298
98,209.808
99,211.923
100,219.305
