Percentage served,Time in ms
0,252.671
1,254.734
2,255.819
3,256.189
4,256.923
5,257.205
6,257.560
7,257.784
8,258.021
9,258.342
10,258.607
11,258.982
12,259.226
13,259.407
14,259.804
15,260.040
16,260.537
17,260.746
18,260.982
19,261.172
20,261.420
21,261.792
22,262.014
23,262.257
24,262.478
25,262.690
26,262.901
27,263.082
28,263.131
29,263.229
30,263.397
31,263.529
32,263.707
33,263.926
34,264.038
35,264.370
36,264.553
37,264.670
38,264.869
39,265.003
40,265.174
41,265.440
42,265.477
43,265.804
44,266.068
45,266.464
46,266.521
47,266.776
48,266.904
49,267.079
50,267.263
51,267.361
52,267.506
53,267.596
54,267.687
55,267.831
56,268.074
57,268.181
58,268.375
59,268.519
60,268.888
61,269.225
62,269.550
63,269.812
64,269.960
65,270.164
66,270.294
67,270.622
68,270.764
69,270.881
70,271.453
71,271.574
72,271.684
73,271.902
74,272.208
75,272.344
76,272.510
77,272.741
78,273.155
79,273.568
80,273.782
81,274.067
82,274.211
83,274.411
84,274.512
85,275.028
86,275.246
87,276.016
88,276.679
89,276.782
90,277.549
91,278.288
92,278.641
93,279.367
94,279.728
95,280.504
96,281.361
97,282.709
98,284.810
99,289.782
100,301.034
