Percentage served,Time in ms
0,110.113
1,111.121
2,111.487
3,111.699
4,111.985
5,112.330
6,112.562
7,112.857
8,112.991
9,113.173
10,113.315
11,113.407
12,113.515
13,113.582
14,113.689
15,113.878
16,113.941
17,114.069
18,114.258
19,114.385
20,114.446
21,114.516
22,114.612
23,114.684
24,114.809
25,114.896
26,115.014
27,115.154
28,115.266
29,115.404
30,115.552
31,115.629
32,115.745
33,115.891
34,115.973
35,116.071
36,116.216
37,116.439
38,116.588
39,116.788
40,116.934
41,117.080
42,117.188
43,117.308
44,117.450
45,117.589
46,117.709
47,117.861
48,117.990
49,118.030
50,118.199
51,118.311
52,118.453
53,118.616
54,118.734
55,118.871
56,119.029
57,119.153
58,119.351
59,119.531
60,119.709
61,119.847
62,119.984
63,120.170
64,120.339
65,120.496
66,120.723
67,121.030
68,121.297
69,121.489
70,121.911
71,122.266
72,122.511
73,122.833
74,123.207
75,123.695
76,124.197
77,124.716
78,125.071
79,125.966
80,126.860
81,127.684
82,128.198
83,128.914
84,129.508
85,129.923
86,130.561
87,131.001
88,131.493
89,131.859
90,132.295
91,133.109
92,133.674
93,134.415
94,134.930
95,135.695
96,136.156
97,137.247
98,138.868
99,140.876
100,146.179
