Percentage served,Time in ms
0,35.962
1,36.446
2,36.618
3,36.749
4,36.852
5,36.920
6,36.984
7,37.046
8,37.101
9,37.200
10,37.267
11,37.305
12,37.347
13,37.401
14,37.450
15,37.499
16,37.531
17,37.586
18,37.650
19,37.717
20,37.782
21,37.822
22,37.882
23,37.954
24,38.024
25,38.072
26,38.150
27,38.244
28,38.343
29,38.396
30,38.481
31,38.559
32,38.645
33,38.737
34,38.799
35,38.876
36,38.945
37,39.007
38,39.047
39,39.129
40,39.223
41,39.334
42,39.484
43,39.652
44,39.882
45,40.136
46,40.494
47,41.043
48,41.620
49,42.230
50,42.658
51,42.915
52,43.225
53,43.514
54,43.732
55,43.959
56,44.162
57,44.345
58,44.533
59,44.689
60,44.853
61,44.995
62,45.118
63,45.267
64,45.396
65,45.488
66,45.622
67,45.721
68,45.880
69,45.966
70,46.051
71,46.187
72,46.346
73,46.474
74,46.618
75,46.774
76,46.897
77,47.033
78,47.163
79,47.318
80,47.461
81,47.580
82,47.757
83,47.874
84,48.056
85,48.191
86,48.384
87,48.624
88,48.867
89,49.099
90,49.289
91,49.567
92,50.105
93,50.518
94,51.192
95,51.925
96,52.950
97,54.264
98,55.813
99,57.853
100,73.054
