Percentage served,Time in ms
0,39.622
1,40.107
2,40.268
3,40.363
4,40.434
5,40.487
6,40.553
7,40.628
8,40.672
9,40.717
10,40.759
11,40.802
12,40.837
13,40.874
14,40.903
15,40.946
16,40.973
17,41.001
18,41.030
19,41.053
20,41.079
21,41.100
22,41.133
23,41.173
24,41.204
25,41.230
26,41.262
27,41.285
28,41.317
29,41.338
30,41.371
31,41.398
32,41.425
33,41.455
34,41.482
35,41.513
36,41.536
37,41.570
38,41.601
39,41.626
40,41.655
41,41.689
42,41.722
43,41.756
44,41.805
45,41.834
46,41.869
47,41.901
48,41.940
49,41.971
50,42.004
51,42.035
52,42.072
53,42.100
54,42.135
55,42.170
56,42.215
57,42.259
58,42.295
59,42.334
60,42.366
61,42.407
62,42.451
63,42.483
64,42.513
65,42.550
66,42.590
67,42.634
68,42.678
69,42.713
70,42.761
71,42.810
72,42.850
73,42.883
74,42.916
75,42.955
76,42.986
77,43.020
78,43.070
79,43.102
80,43.146
81,43.206
82,43.265
83,43.297
84,43.348
85,43.402
86,43.459
87,43.505
88,43.586
89,43.652
90,43.733
91,43.796
92,43.896
93,44.000
94,44.136
95,44.306
96,44.622
97,44.917
98,45.406
99,46.501
100,52.436
