Percentage served,Time in ms
0,103.402
1,104.932
2,105.222
3,105.438
4,105.735
5,105.881
6,106.074
7,106.343
8,106.449
9,106.623
10,106.750
11,106.927
12,107.053
13,107.167
14,107.274
15,107.441
16,107.512
17,107.641
18,107.754
19,107.858
20,108.038
21,108.129
22,108.212
23,108.319
24,108.410
25,108.515
26,108.665
27,108.854
28,109.015
29,109.238
30,109.427
31,109.646
32,109.785
33,109.879
34,109.976
35,110.125
36,110.235
37,110.319
38,110.478
39,110.565
40,110.675
41,110.816
42,110.902
43,110.988
44,111.074
45,111.155
46,111.266
47,111.359
48,111.463
49,111.526
50,111.610
51,111.711
52,111.831
53,111.937
54,112.003
55,112.074
56,112.172
57,112.273
58,112.343
59,112.392
60,112.510
61,112.603
62,112.694
63,112.799
64,112.897
65,112.988
66,113.068
67,113.135
68,113.250
69,113.363
70,113.515
71,113.713
72,113.840
73,113.926
74,114.081
75,114.346
76,114.629
77,114.745
78,114.928
79,115.156
80,115.343
81,115.638
82,115.829
83,115.937
84,116.113
85,116.354
86,116.586
87,116.760
88,116.880
89,117.151
90,117.441
91,117.627
92,117.870
93,118.047
94,118.301
95,118.478
96,118.864
97,119.266
98,119.870
99,120.714
100,123.554
