Percentage served,Time in ms
0,170.140
1,172.760
2,173.076
3,173.717
4,174.324
5,174.668
6,175.027
7,175.430
8,175.694
9,175.995
10,176.359
11,176.755
12,177.079
13,177.424
14,177.616
15,177.836
16,177.956
17,178.142
18,178.265
19,178.532
20,178.739
21,178.987
22,179.157
23,179.408
24,179.697
25,179.828
26,179.960
27,180.086
28,180.301
29,180.395
30,180.555
31,180.746
32,180.888
33,181.097
34,181.405
35,181.605
36,181.702
37,181.831
38,182.180
39,182.321
40,182.520
41,182.603
42,182.676
43,182.967
44,183.119
45,183.434
46,183.570
47,183.788
48,183.926
49,184.093
50,184.292
51,184.534
52,184.664
53,184.849
54,185.018
55,185.240
56,185.369
57,185.507
58,185.683
59,185.813
60,186.013
61,186.217
62,186.359
63,186.494
64,186.687
65,186.880
66,187.095
67,187.289
68,187.424
69,187.672
70,187.770
71,188.015
72,188.171
73,188.383
74,188.627
75,188.704
76,188.946
77,189.188
78,189.338
79,189.560
80,189.699
81,190.202
82,190.318
83,190.507
84,190.806
85,191.276
86,191.559
87,192.121
88,192.533
89,192.737
90,192.951
91,193.435
92,193.682
93,194.165
94,194.647
95,195.349
96,196.605
97,197.708
98,198.739
99,201.764
100,208.754
