Percentage served,Time in ms
0,253.357
1,257.038
2,258.808
3,259.512
4,259.920
5,260.793
6,261.096
7,261.488
8,262.109
9,262.377
10,262.476
11,262.735
12,263.204
13,263.303
14,263.487
15,263.624
16,263.862
17,263.978
18,264.214
19,264.665
20,264.816
21,264.998
22,265.204
23,265.413
24,265.580
25,265.656
26,265.823
27,266.000
28,266.087
29,266.196
30,266.253
31,266.590
32,266.625
33,266.716
34,266.939
35,267.087
36,267.191
37,267.263
38,267.656
39,267.756
40,268.043
41,268.178
42,268.318
43,268.510
44,268.593
45,268.927
46,268.986
47,269.221
48,269.278
49,269.403
50,269.522
51,269.660
52,269.799
53,269.918
54,270.092
55,270.487
56,270.625
57,270.686
58,270.911
59,271.007
60,271.217
61,271.510
62,271.768
63,271.922
64,272.077
65,272.423
66,272.575
67,272.661
68,273.027
69,273.135
70,273.376
71,273.465
72,273.682
73,273.919
74,274.303
75,274.527
76,274.942
77,275.200
78,275.301
79,275.681
80,275.828
81,276.098
82,276.423
83,276.740
84,276.819
85,277.430
86,277.956
87,278.122
88,278.524
89,278.731
90,278.959
91,279.149
92,279.809
93,280.350
94,280.934
95,282.739
96,283.482
97,284.316
98,285.210
99,287.185
100,298.700
