Percentage served,Time in ms
0,94.553
1,110.293
2,110.965
3,111.345
4,111.738
5,111.992
6,112.101
7,112.223
8,112.319
9,112.405
10,112.488
11,112.605
12,112.693
13,112.793
14,112.869
15,112.928
16,113.047
17,113.125
18,113.213
19,113.285
20,113.342
21,113.450
22,113.528
23,113.645
24,113.728
25,113.791
26,113.848
27,113.888
28,113.940
29,113.999
30,114.065
31,114.122
32,114.167
33,114.241
34,114.312
35,114.341
36,114.407
37,114.481
38,114.557
39,114.601
40,114.665
41,114.724
42,114.796
43,114.869
44,114.924
45,114.987
46,115.100
47,115.141
48,115.254
49,115.388
50,115.480
51,115.566
52,115.710
53,115.789
54,115.848
55,115.990
56,116.109
57,116.164
58,116.325
59,116.474
60,116.637
61,116.780
62,116.944
63,117.033
64,117.090
65,117.216
66,117.357
67,117.492
68,117.622
69,117.719
70,117.776
71,117.854
72,117.949
73,118.056
74,118.148
75,118.239
76,118.363
77,118.432
78,118.511
79,118.632
80,118.759
81,118.873
82,118.947
83,118.981
84,119.106
85,119.226
86,119.348
87,119.516
88,119.659
89,119.812
90,119.973
91,120.139
92,120.270
93,120.595
94,120.909
95,121.112
96,121.468
97,121.912
98,122.377
99,123.999
100,129.470
