Percentage served,Time in ms
0,35.727
1,36.150
2,36.283
3,36.360
4,36.450
5,36.505
6,36.577
7,36.614
8,36.651
9,36.690
10,36.735
11,36.778
12,36.800
13,36.827
14,36.847
15,36.874
16,36.902
17,36.932
18,36.955
19,36.974
20,37.011
21,37.034
22,37.055
23,37.088
24,37.122
25,37.151
26,37.184
27,37.205
28,37.233
29,37.264
30,37.278
31,37.310
32,37.331
33,37.357
34,37.383
35,37.406
36,37.422
37,37.448
38,37.467
39,37.490
40,37.519
41,37.540
42,37.576
43,37.606
44,37.632
45,37.662
46,37.686
47,37.708
48,37.736
49,37.765
50,37.788
51,37.816
52,37.847
53,37.871
54,37.895
55,37.921
56,37.951
57,37.989
58,38.027
59,38.068
60,38.092
61,38.126
62,38.155
63,38.189
64,38.222
65,38.264
66,38.297
67,38.335
68,38.374
69,38.400
70,38.440
71,38.476
72,38.515
73,38.542
74,38.570
75,38.613
76,38.656
77,38.694
78,38.734
79,38.772
80,38.810
81,38.841
82,38.887
83,38.935
84,38.975
85,39.028
86,39.092
87,39.150
88,39.224
89,39.287
90,39.351
91,39.441
92,39.509
93,39.609
94,39.767
95,40.050
96,40.384
97,40.921
98,41.885
99,43.429
100,51.044
