Percentage served,Time in ms
0,103.051
1,105.320
2,106.156
3,106.773
4,107.926
5,108.608
6,109.035
7,109.444
8,109.625
9,109.911
10,110.095
11,110.187
12,110.319
13,110.457
14,110.576
15,110.670
16,110.852
17,110.990
18,111.114
19,111.195
20,111.273
21,111.370
22,111.433
23,111.530
24,111.603
25,111.683
26,111.771
27,111.899
28,111.946
29,112.038
30,112.104
31,112.213
32,112.276
33,112.322
34,112.409
35,112.458
36,112.562
37,112.638
38,112.722
39,112.820
40,112.892
41,112.936
42,113.032
43,113.115
44,113.238
45,113.314
46,113.396
47,113.467
48,113.522
49,113.584
50,113.689
51,113.777
52,113.824
53,113.921
54,114.003
55,114.101
56,114.168
57,114.233
58,114.463
59,114.598
60,114.732
61,114.849
62,115.006
63,115.085
64,115.271
65,115.413
66,115.511
67,115.612
68,115.721
69,115.848
70,115.949
71,116.091
72,116.185
73,116.283
74,116.422
75,116.502
76,116.613
77,116.751
78,116.862
79,116.957
80,117.093
81,117.252
82,117.337
83,117.452
84,117.521
85,117.641
86,117.742
87,117.892
88,118.062
89,118.157
90,118.303
91,118.535
92,118.743
93,118.936
94,119.153
95,119.530
96,120.034
97,120.621
98,122.325
99,123.399
100,160.645
