Percentage served,Time in ms
0,28.690
1,29.040
2,29.187
3,29.255
4,29.310
5,29.370
6,29.409
7,29.438
8,29.473
9,29.498
10,29.522
11,29.550
12,29.598
13,29.616
14,29.644
15,29.674
16,29.699
17,29.724
18,29.749
19,29.773
20,29.796
21,29.822
22,29.843
23,29.863
24,29.879
25,29.899
26,29.919
27,29.934
28,29.956
29,29.972
30,29.993
31,30.013
32,30.033
33,30.047
34,30.067
35,30.086
36,30.105
37,30.131
38,30.152
39,30.178
40,30.204
41,30.232
42,30.260
43,30.284
44,30.310
45,30.332
46,30.362
47,30.382
48,30.411
49,30.433
50,30.453
51,30.475
52,30.504
53,30.529
54,30.552
55,30.574
56,30.605
57,30.637
58,30.665
59,30.685
60,30.709
61,30.732
62,30.771
63,30.803
64,30.834
65,30.860
66,30.885
67,30.915
68,30.948
69,30.977
70,31.002
71,31.026
72,31.053
73,31.086
74,31.108
75,31.139
76,31.171
77,31.202
78,31.232
79,31.265
80,31.312
81,31.342
82,31.381
83,31.415
84,31.447
85,31.483
86,31.521
87,31.570
88,31.620
89,31.680
90,31.733
91,31.809
92,31.908
93,31.974
94,32.058
95,32.251
96,32.454
97,32.699
98,33.553
99,34.893
100,40.181
