Percentage served,Time in ms
0,24.929
1,25.487
2,25.587
3,25.673
4,25.731
5,25.780
6,25.833
7,25.870
8,25.905
9,25.933
10,25.961
11,25.992
12,26.013
13,26.036
14,26.062
15,26.090
16,26.113
17,26.135
18,26.166
19,26.191
20,26.213
21,26.240
22,26.264
23,26.290
24,26.312
25,26.336
26,26.351
27,26.372
28,26.390
29,26.410
30,26.436
31,26.449
32,26.467
33,26.490
34,26.508
35,26.527
36,26.543
37,26.560
38,26.578
39,26.598
40,26.620
41,26.642
42,26.663
43,26.686
44,26.709
45,26.729
46,26.756
47,26.775
48,26.798
49,26.823
50,26.850
51,26.868
52,26.890
53,26.910
54,26.934
55,26.952
56,26.968
57,26.992
58,27.009
59,27.034
60,27.055
61,27.081
62,27.102
63,27.122
64,27.149
65,27.168
66,27.189
67,27.207
68,27.228
69,27.254
70,27.278
71,27.305
72,27.325
73,27.349
74,27.375
75,27.406
76,27.443
77,27.470
78,27.496
79,27.527
80,27.558
81,27.593
82,27.631
83,27.667
84,27.707
85,27.744
86,27.781
87,27.835
88,27.890
89,27.943
90,28.014
91,28.100
92,28.192
93,28.319
94,28.525
95,28.789
96,29.112
97,29.648
98,30.273
99,31.860
100,42.281
