Percentage served,Time in ms
0,99.729
1,100.878
2,101.328
3,101.643
4,101.927
5,102.107
6,102.374
7,102.549
8,102.761
9,103.016
10,103.124
11,103.259
12,103.496
13,103.669
14,103.799
15,104.026
16,104.227
17,104.405
18,104.754
19,104.952
20,105.235
21,105.543
22,105.956
23,106.261
24,106.462
25,106.663
26,106.937
27,107.167
28,107.440
29,107.756
30,107.903
31,108.072
32,108.446
33,108.815
34,109.091
35,109.779
36,110.419
37,110.946
38,111.272
39,111.566
40,112.038
41,112.351
42,112.596
43,112.728
44,112.907
45,113.059
46,113.137
47,113.316
48,113.461
49,113.615
50,113.686
51,113.852
52,113.992
53,114.094
54,114.241
55,114.403
56,114.590
57,114.704
58,114.777
59,114.895
60,115.038
61,115.209
62,115.330
63,115.466
64,115.558
65,115.682
66,115.895
67,116.058
68,116.265
69,116.414
70,116.529
71,116.864
72,117.143
73,117.335
74,117.516
75,117.772
76,117.971
77,118.104
78,118.440
79,118.603
80,118.659
81,118.802
82,118.937
83,119.094
84,119.287
85,119.448
86,119.675
87,119.833
88,119.951
89,120.242
90,120.500
91,120.797
92,120.936
93,121.192
94,121.374
95,121.933
96,122.377
97,122.956
98,124.867
99,126.272
100,153.738
