Percentage served,Time in ms
0,104.635
1,106.404
2,106.640
3,107.005
4,107.230
5,107.391
6,107.611
7,107.721
8,107.848
9,108.002
10,108.096
11,108.177
12,108.252
13,108.334
14,108.390
15,108.460
16,108.507
17,108.599
18,108.724
19,108.810
20,108.887
21,109.036
22,109.163
23,109.247
24,109.323
25,109.384
26,109.458
27,109.537
28,109.627
29,109.667
30,109.761
31,109.859
32,109.965
33,110.025
34,110.096
35,110.178
36,110.311
37,110.403
38,110.479
39,110.593
40,110.697
41,110.786
42,110.934
43,111.035
44,111.124
45,111.261
46,111.361
47,111.518
48,111.766
49,111.834
50,111.989
51,112.067
52,112.202
53,112.320
54,112.463
55,112.588
56,112.667
57,112.811
58,112.911
59,113.022
60,113.141
61,113.388
62,113.525
63,113.615
64,113.773
65,113.870
66,113.925
67,114.084
68,114.180
69,114.277
70,114.368
71,114.516
72,114.634
73,114.750
74,114.839
75,114.893
76,114.968
77,115.091
78,115.193
79,115.294
80,115.416
81,115.570
82,115.762
83,115.933
84,116.116
85,116.259
86,116.401
87,116.549
88,116.844
89,117.203
90,117.615
91,118.032
92,118.516
93,118.949
94,119.218
95,119.676
96,120.139
97,120.625
98,121.752
99,123.319
100,124.737
