Percentage served,Time in ms
0,25.514
1,25.996
2,26.127
3,26.204
4,26.251
5,26.293
6,26.351
7,26.400
8,26.436
9,26.473
10,26.500
11,26.535
12,26.558
13,26.584
14,26.611
15,26.640
16,26.679
17,26.699
18,26.734
19,26.763
20,26.790
21,26.815
22,26.835
23,26.862
24,26.883
25,26.908
26,26.930
27,26.946
28,26.968
29,26.989
30,27.006
31,27.033
32,27.052
33,27.075
34,27.097
35,27.117
36,27.143
37,27.167
38,27.195
39,27.218
40,27.236
41,27.266
42,27.295
43,27.318
44,27.345
45,27.363
46,27.386
47,27.404
48,27.427
49,27.450
50,27.474
51,27.495
52,27.514
53,27.542
54,27.560
55,27.586
56,27.608
57,27.634
58,27.661
59,27.690
60,27.715
61,27.740
62,27.762
63,27.794
64,27.819
65,27.845
66,27.870
67,27.895
68,27.920
69,27.948
70,27.978
71,28.000
72,28.032
73,28.057
74,28.086
75,28.118
76,28.151
77,28.175
78,28.202
79,28.248
80,28.296
81,28.331
82,28.368
83,28.404
84,28.460
85,28.510
86,28.563
87,28.619
88,28.679
89,28.754
90,28.826
91,28.894
92,28.987
93,29.103
94,29.255
95,29.435
96,29.801
97,30.370
98,31.275
99,33.304
100,43.801
