Percentage served,Time in ms
0,183.936
1,185.163
2,185.616
3,185.880
4,186.256
5,186.564
6,186.949
7,187.189
8,187.500
9,187.753
10,187.837
11,188.087
12,188.162
13,188.399
14,188.520
15,188.619
16,188.696
17,188.811
18,188.937
19,188.982
20,189.109
21,189.316
22,189.494
23,189.602
24,189.696
25,189.794
26,189.868
27,189.973
28,190.102
29,190.266
30,190.360
31,190.570
32,190.691
33,190.800
34,190.978
35,191.116
36,191.232
37,191.432
38,191.586
39,191.753
40,191.902
41,192.012
42,192.247
43,192.408
44,192.508
45,192.688
46,192.841
47,192.934
48,193.086
49,193.164
50,193.344
51,193.619
52,193.794
53,193.968
54,194.217
55,194.327
56,194.489
57,194.754
58,194.943
59,195.325
60,195.577
61,195.726
62,195.958
63,196.106
64,196.325
65,196.583
66,196.884
67,197.190
68,197.867
69,198.039
70,198.410
71,198.562
72,198.782
73,198.890
74,199.062
75,199.406
76,199.697
77,199.838
78,200.204
79,200.524
80,200.870
81,201.030
82,201.563
83,201.996
84,202.519
85,203.014
86,203.664
87,203.966
88,204.258
89,204.553
90,205.143
91,205.431
92,206.237
93,206.612
94,207.826
95,208.334
96,211.797
97,214.350
98,215.294
99,217.064
100,220.114
