Percentage served,Time in ms
0,251.898
1,255.589
2,256.908
3,257.437
4,257.986
5,258.161
6,258.640
7,258.933
8,259.708
9,259.762
10,259.922
11,260.088
12,260.334
13,260.404
14,260.507
15,260.722
16,260.895
17,261.050
18,261.321
19,261.673
20,261.769
21,262.125
22,262.318
23,262.493
24,262.548
25,262.695
26,262.785
27,263.106
28,263.193
29,263.362
30,263.463
31,263.630
32,263.798
33,263.977
34,264.055
35,264.194
36,264.345
37,264.474
38,264.643
39,264.735
40,264.939
41,265.056
42,265.271
43,265.447
44,265.619
45,265.781
46,265.940
47,266.045
48,266.247
49,266.605
50,266.877
51,267.026
52,267.220
53,267.335
54,267.500
55,267.596
56,267.813
57,268.044
58,268.508
59,268.752
60,269.057
61,269.188
62,269.326
63,269.453
64,269.750
65,269.980
66,270.227
67,270.368
68,270.713
69,270.988
70,271.240
71,271.462
72,271.766
73,271.972
74,272.295
75,272.437
76,272.909
77,273.350
78,273.580
79,273.944
80,274.170
81,274.438
82,275.138
83,275.261
84,275.729
85,276.089
86,276.410
87,276.951
88,277.456
89,278.242
90,278.523
91,279.182
92,279.863
93,280.372
94,280.721
95,282.653
96,283.285
97,283.989
98,286.246
99,292.626
100,315.599
