Percentage served,Time in ms
0,109.789
1,110.970
2,111.175
3,111.414
4,111.675
5,111.886
6,112.007
7,112.108
8,112.252
9,112.439
10,112.552
11,112.703
12,112.791
13,112.856
14,112.949
15,113.041
16,113.129
17,113.278
18,113.344
19,113.442
20,113.526
21,113.550
22,113.611
23,113.685
24,113.745
25,113.795
26,113.834
27,113.910
28,114.015
29,114.075
30,114.158
31,114.210
32,114.262
33,114.311
34,114.355
35,114.413
36,114.481
37,114.539
38,114.620
39,114.663
40,114.757
41,114.880
42,114.922
43,114.962
44,115.029
45,115.115
46,115.176
47,115.244
48,115.296
49,115.389
50,115.451
51,115.505
52,115.551
53,115.647
54,115.747
55,115.831
56,115.931
57,116.030
58,116.162
59,116.258
60,116.391
61,116.493
62,116.592
63,116.766
64,116.883
65,117.040
66,117.116
67,117.269
68,117.333
69,117.447
70,117.522
71,117.674
72,117.822
73,117.882
74,118.105
75,118.224
76,118.362
77,118.417
78,118.562
79,118.613
80,118.785
81,118.953
82,119.009
83,119.180
84,119.301
85,119.396
86,119.544
87,119.693
88,119.783
89,119.929
90,120.135
91,120.361
92,120.435
93,120.565
94,120.846
95,121.058
96,121.326
97,121.735
98,122.263
99,123.403
100,135.823
