Percentage served,Time in ms
0,35.809
1,36.269
2,36.398
3,36.487
4,36.568
5,36.622
6,36.670
7,36.729
8,36.760
9,36.797
10,36.834
11,36.863
12,36.895
13,36.923
14,36.949
15,36.977
16,36.998
17,37.027
18,37.055
19,37.086
20,37.114
21,37.141
22,37.167
23,37.196
24,37.226
25,37.252
26,37.277
27,37.303
28,37.333
29,37.356
30,37.372
31,37.392
32,37.415
33,37.437
34,37.455
35,37.473
36,37.493
37,37.515
38,37.541
39,37.568
40,37.589
41,37.608
42,37.633
43,37.666
44,37.690
45,37.712
46,37.747
47,37.774
48,37.804
49,37.834
50,37.865
51,37.888
52,37.915
53,37.942
54,37.972
55,37.998
56,38.023
57,38.045
58,38.085
59,38.121
60,38.160
61,38.193
62,38.224
63,38.258
64,38.297
65,38.331
66,38.368
67,38.391
68,38.430
69,38.459
70,38.490
71,38.531
72,38.557
73,38.599
74,38.628
75,38.661
76,38.707
77,38.740
78,38.784
79,38.828
80,38.862
81,38.892
82,38.942
83,38.995
84,39.028
85,39.080
86,39.124
87,39.173
88,39.218
89,39.290
90,39.370
91,39.448
92,39.548
93,39.654
94,39.767
95,39.942
96,40.164
97,40.824
98,41.671
99,43.117
100,49.900
