Percentage served,Time in ms
0,28.895
1,29.324
2,29.427
3,29.492
4,29.538
5,29.594
6,29.628
7,29.669
8,29.718
9,29.755
10,29.780
11,29.811
12,29.838
13,29.865
14,29.895
15,29.929
16,29.953
17,29.968
18,29.987
19,30.014
20,30.042
21,30.066
22,30.088
23,30.112
24,30.134
25,30.164
26,30.184
27,30.208
28,30.233
29,30.255
30,30.278
31,30.298
32,30.313
33,30.338
34,30.359
35,30.381
36,30.397
37,30.418
38,30.446
39,30.462
40,30.485
41,30.508
42,30.530
43,30.555
44,30.578
45,30.602
46,30.629
47,30.648
48,30.671
49,30.702
50,30.723
51,30.750
52,30.774
53,30.799
54,30.819
55,30.849
56,30.876
57,30.903
58,30.926
59,30.951
60,30.969
61,30.992
62,31.015
63,31.048
64,31.082
65,31.108
66,31.144
67,31.174
68,31.197
69,31.222
70,31.252
71,31.284
72,31.315
73,31.344
74,31.377
75,31.407
76,31.437
77,31.468
78,31.505
79,31.542
80,31.575
81,31.608
82,31.635
83,31.657
84,31.693
85,31.728
86,31.771
87,31.824
88,31.862
89,31.923
90,31.956
91,32.030
92,32.095
93,32.184
94,32.323
95,32.465
96,32.763
97,33.310
98,33.966
99,35.696
100,45.962
