Percentage served,Time in ms
0,103.541
1,104.450
2,104.848
3,105.101
4,105.291
5,105.491
6,105.657
7,105.822
8,106.063
9,106.168
10,106.274
11,106.387
12,106.504
13,106.578
14,106.743
15,106.895
16,107.037
17,107.133
18,107.196
19,107.306
20,107.370
21,107.481
22,107.586
23,107.682
24,107.806
25,107.881
26,108.019
27,108.193
28,108.267
29,108.464
30,108.608
31,108.742
32,108.887
33,109.005
34,109.187
35,109.290
36,109.442
37,109.621
38,109.816
39,109.976
40,110.078
41,110.240
42,110.429
43,110.537
44,110.734
45,110.802
46,110.895
47,110.957
48,111.018
49,111.167
50,111.254
51,111.382
52,111.457
53,111.550
54,111.653
55,111.719
56,111.812
57,111.977
58,112.055
59,112.213
60,112.304
61,112.387
62,112.459
63,112.540
64,112.653
65,112.788
66,112.902
67,112.985
68,113.093
69,113.200
70,113.291
71,113.431
72,113.576
73,113.784
74,113.907
75,113.977
76,114.172
77,114.295
78,114.463
79,114.650
80,114.811
81,115.021
82,115.238
83,115.459
84,115.700
85,115.992
86,116.192
87,116.483
88,116.684
89,117.049
90,117.334
91,117.523
92,117.843
93,118.171
94,118.534
95,118.840
96,119.202
97,119.725
98,120.356
99,125.877
100,137.535
