Percentage served,Time in ms
0,279.555
1,279.643
2,279.806
3,279.820
4,279.844
5,279.853
6,279.922
7,279.936
8,279.944
9,279.971
10,280.029
11,280.050
12,280.070
13,280.127
14,280.148
15,280.168
16,280.196
17,280.236
18,280.254
19,280.267
20,280.281
21,280.313
22,280.330
23,280.351
24,280.361
25,280.388
26,280.413
27,280.433
28,280.451
29,280.459
30,280.468
31,280.475
32,280.498
33,280.512
34,280.519
35,280.527
36,280.539
37,280.563
38,280.576
39,280.596
40,280.602
41,280.633
42,280.654
43,280.669
44,280.681
45,280.690
46,280.709
47,280.738
48,280.757
49,280.777
50,280.807
51,280.834
52,280.856
53,280.876
54,280.893
55,280.908
56,280.935
57,280.951
58,280.970
59,280.983
60,280.997
61,281.008
62,281.045
63,281.060
64,281.071
65,281.078
66,281.099
67,281.130
68,281.148
69,281.170
70,281.202
71,281.222
72,281.243
73,281.289
74,281.313
75,281.347
76,281.382
77,281.410
78,281.477
79,281.499
80,281.513
81,281.545
82,281.578
83,281.603
84,281.623
85,281.650
86,281.749
87,281.757
88,281.792
89,281.824
90,281.867
91,281.919
92,282.056
93,282.122
94,282.237
95,282.337
96,282.554
97,282.739
98,283.438
99,284.952
100,285.981
