Percentage served,Time in ms
0,1330.015
1,1390.864
2,1391.080
3,1391.168
4,1391.168
5,1391.795
6,1391.800
7,1391.817
8,1391.964
9,1391.978
10,1392.114
11,1392.114
12,1392.130
13,1392.142
14,1392.219
15,1392.416
16,1392.420
17,1392.490
18,1392.490
19,1392.528
20,1392.547
21,1392.632
22,1392.760
23,1392.813
24,1393.048
25,1393.161
26,1393.161
27,1393.176
28,1393.257
29,1393.416
30,1393.585
31,1393.642
32,1393.816
33,1393.816
34,1393.839
35,1393.875
36,1393.884
37,1393.956
38,1393.978
39,1394.022
40,1394.022
41,1394.214
42,1394.370
43,1394.462
44,1394.648
45,1394.750
46,1394.824
47,1394.824
48,1394.896
49,1394.924
50,1394.998
51,1395.009
52,1395.268
53,1395.497
54,1395.497
55,1395.525
56,1395.602
57,1395.605
58,1395.668
59,1395.681
60,1395.681
61,1395.681
62,1395.715
63,1395.944
64,1395.995
65,1396.219
66,1396.757
67,1396.907
68,1396.907
69,1396.939
70,1397.155
71,1397.243
72,1397.599
73,1397.644
74,1397.984
75,1398.362
76,1398.362
77,1398.635
78,1398.859
79,1398.997
80,1399.175
81,1399.451
82,1399.908
83,1399.908
84,1399.933
85,1400.240
86,1400.534
87,1400.648
88,1401.189
89,1401.317
90,1401.317
91,1401.404
92,1401.458
93,1401.961
94,1402.541
95,1402.737
96,1402.838
97,1402.838
98,1402.978
99,1409.266
100,1409.266
