Percentage served,Time in ms
0,462.572
1,462.641
2,463.169
3,463.190
4,463.463
5,463.503
6,463.550
7,463.597
8,463.676
9,463.719
10,463.801
11,463.878
12,463.950
13,464.010
14,464.234
15,464.308
16,464.383
17,464.481
18,465.087
19,465.154
20,465.380
21,465.653
22,465.806
23,465.954
24,466.129
25,466.223
26,466.524
27,466.816
28,466.992
29,467.165
30,467.393
31,467.834
32,467.964
33,468.085
34,468.473
35,468.521
36,470.305
37,471.743
38,491.342
39,491.393
40,491.534
41,491.599
42,491.772
43,491.850
44,491.864
45,491.917
46,491.943
47,491.965
48,492.056
49,492.137
50,492.199
51,492.238
52,492.266
53,492.277
54,492.299
55,492.327
56,492.340
57,492.386
58,492.421
59,492.472
60,492.504
61,492.543
62,492.559
63,492.653
64,492.701
65,492.726
66,492.759
67,492.791
68,492.836
69,492.889
70,492.940
71,493.024
72,493.037
73,493.056
74,493.070
75,493.128
76,493.182
77,493.268
78,493.313
79,493.362
80,493.400
81,493.443
82,493.462
83,493.616
84,493.818
85,493.932
86,494.087
87,494.176
88,494.296
89,494.409
90,494.501
91,494.607
92,494.640
93,494.817
94,494.819
95,495.071
96,495.085
97,495.365
98,495.830
99,515.956
100,527.402
