Percentage served,Time in ms
0,1324.227
1,1324.788
2,1325.008
3,1325.033
4,1325.448
5,1325.472
6,1325.472
7,1325.496
8,1325.554
9,1325.679
10,1325.701
11,1325.805
12,1326.076
13,1326.171
14,1326.317
15,1326.372
16,1326.393
17,1326.393
18,1326.651
19,1326.687
20,1326.693
21,1326.768
22,1326.817
23,1326.838
24,1326.852
25,1327.030
26,1327.240
27,1327.284
28,1327.284
29,1327.306
30,1327.391
31,1327.438
32,1327.481
33,1327.487
34,1327.503
35,1327.549
36,1327.562
37,1327.566
38,1327.658
39,1327.658
40,1327.692
41,1327.907
42,1327.974
43,1328.300
44,1328.572
45,1328.712
46,1328.722
47,1328.725
48,1328.730
49,1328.795
50,1328.798
51,1328.798
52,1328.813
53,1328.868
54,1328.896
55,1329.114
56,1329.196
57,1329.197
58,1329.214
59,1329.245
60,1329.276
61,1329.438
62,1329.438
63,1329.524
64,1329.580
65,1329.868
66,1329.912
67,1330.114
68,1330.184
69,1330.721
70,1330.891
71,1330.956
72,1331.232
73,1331.232
74,1331.257
75,1331.301
76,1331.538
77,1331.606
78,1331.630
79,1331.959
80,1331.977
81,1331.981
82,1332.013
83,1332.078
84,1332.078
85,1332.338
86,1332.444
87,1332.843
88,1332.856
89,1332.926
90,1333.249
91,1333.256
92,1333.357
93,1333.896
94,1334.239
95,1334.239
96,1334.584
97,1334.645
98,1334.715
99,1334.740
100,1334.740
