Percentage served,Time in ms
0,422.583
1,422.986
2,423.132
3,423.165
4,423.282
5,423.339
6,423.390
7,423.412
8,423.520
9,423.568
10,423.589
11,423.601
12,423.624
13,423.660
14,423.667
15,423.703
16,423.749
17,423.768
18,423.803
19,423.835
20,423.848
21,423.877
22,423.889
23,423.902
24,423.907
25,423.953
26,423.969
27,424.010
28,424.019
29,424.043
30,424.062
31,424.078
32,424.104
33,424.132
34,424.159
35,424.177
36,424.208
37,424.212
38,424.236
39,424.242
40,424.268
41,424.281
42,424.305
43,424.339
44,424.361
45,424.410
46,424.419
47,424.445
48,424.480
49,424.517
50,424.543
51,424.576
52,424.599
53,424.626
54,424.655
55,424.671
56,424.676
57,424.762
58,424.837
59,424.848
60,424.903
61,424.907
62,424.946
63,425.057
64,425.090
65,425.140
66,425.201
67,425.251
68,425.301
69,425.382
70,425.395
71,425.433
72,425.465
73,425.545
74,425.573
75,425.592
76,425.634
77,425.717
78,425.781
79,425.790
80,425.849
81,425.958
82,426.068
83,426.124
84,426.192
85,426.285
86,426.430
87,426.458
88,426.503
89,426.690
90,426.769
91,426.896
92,426.925
93,427.039
94,427.168
95,427.209
96,427.938
97,429.034
98,429.302
99,429.897
100,465.902
