Percentage served,Time in ms
0,1257.130
1,1257.433
2,1257.518
3,1258.012
4,1258.043
5,1258.210
6,1258.322
7,1258.403
8,1258.582
9,1258.582
10,1258.616
11,1258.945
12,1259.008
13,1259.226
14,1259.331
15,1259.377
16,1259.608
17,1259.616
18,1259.775
19,1259.832
20,1260.069
21,1260.099
22,1260.265
23,1260.338
24,1260.373
25,1260.377
26,1260.377
27,1260.388
28,1260.691
29,1260.731
30,1260.822
31,1261.004
32,1261.119
33,1261.134
34,1261.413
35,1261.428
36,1261.570
37,1261.784
38,1261.812
39,1261.962
40,1261.980
41,1262.220
42,1262.220
43,1262.623
44,1262.644
45,1262.806
46,1262.902
47,1262.968
48,1263.131
49,1263.402
50,1263.462
51,1263.579
52,1263.705
53,1263.980
54,1264.972
55,1265.124
56,1265.178
57,1265.354
58,1265.974
59,1265.974
60,1266.338
61,1266.617
62,1266.979
63,1267.562
64,1297.894
65,1300.148
66,1300.545
67,1301.773
68,1309.337
69,1325.958
70,1326.189
71,1326.694
72,1326.754
73,1326.772
74,1326.981
75,1327.062
76,1327.062
77,1327.576
78,1327.690
79,1327.997
80,1328.316
81,1328.522
82,1328.814
83,1329.839
84,1329.859
85,1329.954
86,1329.989
87,1330.038
88,1330.142
89,1330.160
90,1330.285
91,1330.635
92,1330.635
93,1330.773
94,1331.499
95,1334.272
96,1334.576
97,1336.140
98,1336.878
99,1337.494
100,1337.494
