Percentage served,Time in ms
0,279.393
1,279.614
2,279.874
3,279.904
4,279.921
5,279.962
6,279.987
7,280.019
8,280.049
9,280.089
10,280.114
11,280.124
12,280.156
13,280.187
14,280.218
15,280.235
16,280.242
17,280.259
18,280.279
19,280.288
20,280.295
21,280.316
22,280.333
23,280.354
24,280.371
25,280.398
26,280.409
27,280.413
28,280.432
29,280.446
30,280.467
31,280.488
32,280.505
33,280.508
34,280.530
35,280.546
36,280.559
37,280.581
38,280.587
39,280.625
40,280.638
41,280.649
42,280.673
43,280.699
44,280.707
45,280.717
46,280.730
47,280.754
48,280.761
49,280.777
50,280.802
51,280.814
52,280.838
53,280.856
54,280.877
55,280.887
56,280.914
57,280.931
58,280.945
59,280.972
60,280.995
61,281.010
62,281.075
63,281.117
64,281.158
65,281.187
66,281.254
67,281.284
68,281.324
69,281.393
70,281.417
71,281.434
72,281.460
73,281.508
74,281.553
75,281.604
76,281.642
77,281.658
78,281.688
79,281.722
80,281.806
81,281.860
82,281.900
83,281.951
84,282.072
85,282.093
86,282.157
87,282.192
88,282.255
89,282.362
90,282.427
91,282.553
92,282.714
93,282.790
94,283.029
95,283.341
96,283.497
97,284.290
98,284.802
99,287.023
100,291.081
