Percentage served,Time in ms
0,1252.252
1,1252.352
2,1252.795
3,1252.897
4,1252.973
5,1253.127
6,1253.376
7,1253.758
8,1253.787
9,1253.892
10,1253.994
11,1253.994
12,1254.119
13,1254.252
14,1254.288
15,1254.342
16,1254.450
17,1254.898
18,1254.929
19,1254.968
20,1255.013
21,1255.053
22,1255.053
23,1255.072
24,1255.103
25,1255.354
26,1255.421
27,1255.600
28,1255.640
29,1255.679
30,1255.833
31,1255.833
32,1255.873
33,1255.977
34,1256.168
35,1256.411
36,1256.542
37,1256.675
38,1256.756
39,1256.763
40,1256.945
41,1257.114
42,1257.368
43,1257.602
44,1257.927
45,1257.963
46,1258.070
47,1258.190
48,1258.233
49,1258.345
50,1258.468
51,1258.468
52,1258.521
53,1258.564
54,1258.690
55,1258.809
56,1258.913
57,1258.973
58,1259.103
59,1259.194
60,1259.658
61,1260.021
62,1260.911
63,1261.066
64,1261.075
65,1261.077
66,1261.096
67,1262.423
68,1263.434
69,1263.980
70,1264.672
71,1264.672
72,1270.645
73,1295.296
74,1295.949
75,1296.126
76,1296.183
77,1298.330
78,1298.631
79,1300.198
80,1300.634
81,1301.680
82,1302.168
83,1302.244
84,1302.642
85,1305.239
86,1322.407
87,1322.422
88,1323.739
89,1323.755
90,1324.556
91,1324.556
92,1325.024
93,1325.605
94,1326.365
95,1326.389
96,1326.778
97,1327.149
98,1327.884
99,1328.085
100,1328.085
